Method,Total Cost ($),Discomfort (°C·h),Switching Count,Peak Load (kW),Cost Reduction (%)
Baseline Thermostat,3.35,73733.88,1,1.17,—
PI-DRL (Proposed),1.83,90607.17,6,1.17,45.3%
