Model,R²,MAE (Wh),RMSE (Wh),Training Time (s)
Linear Regression,0.36299358322483055,35.36520314311098,72.23505309820472,0.1
LSTM,0.28420134391699037,36.746090521583874,76.57227177902476,68.536484
Transformer,0.2651320158906876,36.152490427673634,77.5855344738435,443.516455
