Scenario,Total Energy (Wh),Energy Savings (%),Mean PPD (%),Comfort Ratio (%),Cost Savings ($),CO2 Reduction (kg),p-value vs Baseline
Baseline,269189.99999999994,0.0,7.496791856072652,70.6,0.0,0.0,-
MPC,281038.49999999994,-4.401537947174861,5.111792226256925,100.0,-1.1848499999999973,-5.924250000000001,0.023
Hybrid RL,254553.16666666666,5.437361467117386,12.199971484946175,0.05002501250625312,1.4636833333333321,7.318416666666636,0.001
