Metric,Baseline,PI-DRL
Total Cost ($),53.29,61.20
Comfort Ratio (%),66.9,78.5
Comfort Loss (°C²·h),31.23,5.72
Total Cycles,9,0
Total Energy (kWh),399.25,432.00
Mean Temperature (°C),20.2,21.4
