Method,Energy (kWh),Cost ($),Cost Reduction (%),Discomfort (°C·h),Discomfort Reduction (%),Equipment Cycles,Cycle Reduction (%)
Baseline Thermostat,21.55,3.23,0.0,15752.69,0.0,5,0.0
Proposed PI-DRL,0.00,0.00,100.0,25141.19,-59.6,0,100.0
