Dataset,N,RMSE,MAE,R²
Train,7509,0.0027400010255499824,0.001957165309264016,0.5747339652908563
Validation,939,0.0028022991804876225,0.001982888821721684,0.5410225025347658
Test,1878,0.0028022991804876225,0.001982888821721684,0.5410225025347658
