envelope_class,climate_zone,cost_savings,emissions_reduction,n_households
good,cold,-1156.5117131152101,0.2723081716895057,89
good,mild,-1156.0218459851571,1.0907332200863786,61
good,mixed,-1156.2237490119603,1.0352281868116051,145
medium,cold,-1156.5086134878757,0.2702202824963926,148
medium,mild,-1156.0350830628824,0.9220740825745961,131
medium,mixed,-1156.2208687084674,0.8609871618620109,319
poor,cold,-1156.5996546199126,0.3315450080854585,27
poor,mild,-1156.05019907347,0.729474676476647,21
poor,mixed,-1156.2207987818495,0.8280378608624137,59
