Region,Electricity ($/kWh),Natural Gas ($/therm),Grid CO2 (kg/kWh)
Northeast,0.22,1.5,0.3
Midwest,0.14,0.95,0.6
South,0.12,1.1,0.45
West,0.18,1.3,0.35
Pacific,0.2,1.4,0.25
