Region,Elec ($/kWh),Gas ($/therm),Grid CO₂ (kg/kWh),Source
National Average,0.15,1.2,0.42,EIA 2023
Northeast,0.22,1.5,0.3,EIA SEDS
Midwest,0.14,0.95,0.6,EIA SEDS
South,0.12,1.1,0.45,EIA SEDS
West,0.18,1.3,0.35,EIA SEDS
