feature,importance
climate_zone,0.22952573
HDD65,0.12056867
A_heated,0.10516628
TYPEHUQ,0.07955544
log_sqft,0.07781027
building_age,0.06275861
YEARMADERANGE,0.049514763
REGIONC,0.041483503
EQUIPM,0.040744673
DRAFTY,0.035832334
DIVISION,0.035562646
envelope_class,0.032673094
ADQINSUL,0.031097652
heating_equip_age,0.029270621
TYPEGLASS,0.028435765
