Variable,N,Mean,Std,Min,Q25,Median,Q75,Max,RSE (%)
HDD65,9387,4277.578464805949,1907.254539682533,295.0,2616.0,4509.0,5689.0,14075.0,0.1009736246620968
A_heated,9387,1864.53990469329,1058.6571840179033,290.0,1100.0,1600.0,2400.0,15000.0,0.1485766565599838
E_heat_btu,9387,45112.123127268256,29084.750145258968,27.692,24916.346,39793.222,58505.272,794296.0829999999,0.1828117878255272
Thermal_Intensity_I,9387,0.007373304387258025,0.004473352021576088,4.358714043993232e-06,0.0040652746916498,0.0062706793179317,0.0094141555033835,0.0237827118644067,0.19271960817742956
