set,n_samples,rmse,mae,r2,mape,weighted_rmse
Train,5631,0.00257561328852947,0.001859348135108509,0.6269767220839091,82.03104961471337,0.00251400176683953
Validation,1878,0.003073542540167921,0.0021214364680597233,0.46875037152019894,61.22625774055034,0.0031818272514910553
Test,1878,0.002921282614395328,0.0021119129279257966,0.48586478726968774,43.319113709153356,0.0028835516877962013
