Option,Type,COP @47°F,COP @17°F,HSPF,Cost ($/ton),Lifetime,Source
No HP (Gas),gas,-,-,-,0,-,-
Standard HP,standard,3.5,2.0,9.5,4000,15,AHRI Directory 2023
Cold Climate HP,cold_climate,4.0,2.5,11.0,6000,15,NEEP ccASHP list
High-Perf HP,cold_climate,4.5,3.0,13.0,8000,18,Mitsubishi Hyper-Heat
