Parameter,Value
R_i (K/W),0.0005
R_w (K/W),0.0030
R_o (K/W),0.0020
C_in (J/K),500000
C_m (J/K),2000000
Lockout Time (min),15
Setpoint (°C),21.0
Deadband (°C),1.5
Q_HVAC (kW),4.0
dt (s),60
PPO Learning Rate,0.0001
PPO Gamma,0.99
PPO gae_lambda,0.95
PPO clip_range,0.15
PPO n_steps,2048
PPO batch_size,64
w_cost,1.0
w_disc,1.0
w_switch,0.2
w_peak,1.0
w_invalid,0.5
