Metric,Baseline,PI-DRL,Improvement (%)
Total Cost ($),36.02,40.06,-11.2
Total Discomfort (°C²·h),107.97,147.59,-36.7
Total Cycles,122,260,-113.1
Total Energy (kWh),265.53,283.53,-6.8
