Scenario,Cost Reduction,Cost p,Comfort (Base),Comfort (DRL),Comfort p,Cycles (Base),Cycles (DRL),Cycles p
Mild Winter,5.4%,< 0.001,99.5%,54.7%,< 0.001,18,27,1.000
Cold Winter,11.6%,< 0.001,46.6%,23.4%,< 0.001,4,10,1.000
Spring,12.1%,< 0.001,100.0%,78.8%,1.000,17,24,1.000
