Scenario,Cost_B,Cost_P,Cost_pval,Comfort_B,Comfort_P,Comfort_pval,Cycles_B,Cycles_P,Cycles_pval,Runtime_B,Runtime_P,Runtime_pval
Mild Winter,5.07 ± 0.09,5.02 ± 0.12,0.3641,98.9 ± 0.1,99.5 ± 0.0,< 0.001,31 ± 0,31 ± 0,1.0000,14.8 ± 0.2,14.9 ± 0.2,0.4314
Cold Winter,7.43 ± 0.13,7.48 ± 0.07,0.3423,92.8 ± 0.2,99.9 ± 0.0,< 0.001,42 ± 0,40 ± 0,1.0000,15.5 ± 0.1,16.7 ± 0.1,< 0.001
Spring,2.47 ± 0.09,2.40 ± 0.08,0.1108,97.9 ± 0.2,98.8 ± 0.1,< 0.001,17 ± 0,17 ± 0,1.0000,14.7 ± 0.3,15.0 ± 0.0,1.0000
