Scenario,Baseline Cost ($),PI-DRL Cost ($),Cost Reduction (%),Baseline Comfort (%),PI-DRL Comfort (%),Baseline Cycles,PI-DRL Cycles,p-value (cost)
Cold Winter,55.11 ± 0.11,61.20 ± 0.00,-11.1,71.1 ± 0.0,55.2 ± 0.1,27 ± 0,0 ± 0,0.0000
Mild Winter,37.54 ± 0.17,36.51 ± 0.07,2.7,99.3 ± 0.1,89.5 ± 0.2,103 ± 1,119 ± 0,0.0002
Spring,17.31 ± 0.05,0.00 ± 0.00,100.0,99.5 ± 0.1,0.6 ± 0.1,99 ± 0,0 ± 0,0.0000
